ID,Branch,City,Member,Product Category,Unit price,Quantity,VAT,Total,Date,Time,Payment,gross margin %,Customer Satisfaction
766-85-7061,B,Liverpool,Normal,Health and beauty,87.87,10,175.74,1054.44,29-03-19,10:25,Ewallet,5.6,5.1
871-39-9221,C,Leeds,Normal,Electronic accessories,12.45,6,14.94,89.64,09-02-19,13:11,Cash,5.6,4.1
865-92-6136,A,Manchester,Normal,Food and beverages,52.75,3,31.65,189.9,23-03-19,10:16,Ewallet,5.6,9.3
733-01-9107,B,Liverpool,Normal,Home and lifestyle,82.7,6,99.24,595.44,05-03-19,18:14,Cash,5.6,NA
163-56-7055,C,Leeds,Member,Fashion accessories,48.71,1,9.742,58.452,26-03-19,19:20,Cash,5.6,4.1
189-98-2939,C,Leeds,Normal,Fashion accessories,78.55,9,141.39,848.34,01-03-19,13:22,Cash,5.6,7.2
551-21-3069,C,Leeds,Normal,Electronic accessories,23.07,9,41.526,249.156,01-02-19,11:27,Cash,5.6,4.9
212-62-1842,A,Manchester,Normal,Food and beverages,58.26,6,69.912,419.472,28-03-19,16:44,Cash,5.6,9.9
716-39-1409,B,Liverpool,Normal,Health and beauty,30.35,7,42.49,254.94,19-03-19,18:19,Cash,5.6,8
704-48-3927,A,Manchester,Member,Electronic accessories,88.67,10,177.34,1064.04,12-01-19,14:50,Ewallet,5.6,NA
628-34-3388,C,Leeds,Normal,Fashion accessories,27.38,6,32.856,197.136,05-01-19,20:54,Credit card,5.6,7.9
630-74-5166,A,Manchester,Normal,Sports and travel,62.13,6,74.556,447.336,22-03-19,20:19,Cash,5.6,7.4
588-01-7461,C,Leeds,Normal,Food and beverages,33.98,9,61.164,366.984,24-03-19,10:43,Cash,5.6,NA
861-77-0145,C,Leeds,Member,Electronic accessories,81.97,10,163.94,983.64,03-03-19,14:30,Cash,5.6,9.2
479-26-8945,B,Liverpool,Member,Sports and travel,16.49,2,6.596,39.576,05-02-19,11:32,Ewallet,5.6,NA
210-67-5886,C,Leeds,Member,Health and beauty,98.21,3,58.926,353.556,05-02-19,10:41,Credit card,5.6,7.8
227-78-1148,B,Liverpool,Normal,Fashion accessories,72.84,7,101.976,611.856,15-02-19,12:44,Cash,5.6,8.4
645-44-1170,A,Manchester,Member,Home and lifestyle,58.07,9,104.526,627.156,19-01-19,20:07,Ewallet,5.6,4.3
237-01-6122,C,Leeds,Member,Home and lifestyle,80.79,9,145.422,872.532,01-02-19,20:31,Credit card,5.6,9.5
225-98-1496,C,Leeds,Normal,Fashion accessories,27.02,3,16.212,97.272,02-03-19,13:01,Credit card,5.6,7.1
291-32-1427,B,Liverpool,Member,Fashion accessories,21.94,5,21.94,131.64,05-03-19,12:29,Ewallet,5.6,5.3
659-65-8956,B,Liverpool,Member,Fashion accessories,51.36,1,10.272,61.632,16-01-19,15:26,Ewallet,5.6,5.2
642-32-2990,A,Manchester,Normal,Food and beverages,10.96,10,21.92,131.52,02-02-19,20:48,Ewallet,5.6,6
378-24-2715,B,Liverpool,Normal,Home and lifestyle,53.44,2,21.376,128.256,20-01-19,20:38,Ewallet,5.6,4.1
638-60-7125,A,Manchester,Normal,Electronic accessories,99.56,8,159.296,955.776,14-02-19,17:03,Credit card,5.6,NA
659-36-1684,C,Leeds,Member,Sports and travel,57.12,7,79.968,479.808,12-01-19,12:02,Credit card,5.6,6.5
219-22-9386,B,Liverpool,Member,Sports and travel,99.96,9,179.928,1079.568,09-03-19,17:26,Credit card,5.6,4.2
336-78-2147,C,Leeds,Member,Home and lifestyle,63.91,8,102.256,613.536,13-03-19,19:52,Credit card,5.6,4.6
268-27-6179,B,Liverpool,Member,Fashion accessories,56.47,8,90.352,542.112,09-03-19,14:57,Ewallet,5.6,7.3
668-90-8900,A,Manchester,Normal,Home and lifestyle,93.69,7,131.166,786.996,10-03-19,18:44,Credit card,5.6,4.5
870-54-3162,A,Manchester,Normal,Sports and travel,32.25,5,32.25,193.5,27-01-19,13:26,Cash,5.6,9
189-08-9157,C,Leeds,Normal,Fashion accessories,31.73,9,57.114,342.684,08-01-19,16:17,Credit card,5.6,5.9
663-86-9076,C,Leeds,Member,Food and beverages,68.54,8,109.664,657.984,08-01-19,15:57,Ewallet,5.6,8.5
549-84-7482,B,Liverpool,Normal,Sports and travel,90.28,9,162.504,975.024,08-02-19,11:15,Ewallet,5.6,7.2
191-10-6171,B,Liverpool,Normal,Fashion accessories,39.62,7,55.468,332.808,25-01-19,13:18,Cash,5.6,NA
802-70-5316,A,Manchester,Member,Sports and travel,92.13,6,110.556,663.336,06-03-19,20:34,Cash,5.6,8.3
695-51-0018,B,Liverpool,Normal,Sports and travel,34.84,4,27.872,167.232,10-02-19,18:36,Cash,5.6,7.4
590-83-4591,B,Liverpool,Member,Electronic accessories,87.45,6,104.94,629.64,17-02-19,14:40,Credit card,5.6,8.8
483-71-1164,C,Leeds,Normal,Health and beauty,81.3,6,97.56,585.36,08-03-19,16:43,Ewallet,5.6,NA
597-78-7908,C,Leeds,Normal,Fashion accessories,90.22,3,54.132,324.792,18-02-19,19:39,Cash,5.6,6.2
700-81-1757,A,Manchester,Normal,Electronic accessories,26.31,5,26.31,157.86,18-01-19,20:59,Credit card,5.6,NA
354-39-5160,A,Manchester,Member,Home and lifestyle,34.42,6,41.304,247.824,18-02-19,15:39,Cash,5.6,9.8
241-72-9525,B,Liverpool,Normal,Sports and travel,51.91,10,103.82,622.92,16-02-19,12:21,Cash,5.6,8.2
575-30-8091,A,Manchester,Normal,Sports and travel,72.5,8,116,696,16-03-19,19:25,Ewallet,5.6,NA
731-81-9469,C,Leeds,Member,Sports and travel,89.8,10,179.6,1077.6,23-01-19,13:00,Credit card,5.6,5.4
280-17-4359,C,Leeds,Member,Health and beauty,90.5,10,181,1086,25-01-19,13:48,Cash,5.6,8.1
338-65-2210,C,Leeds,Member,Health and beauty,68.6,10,137.2,823.2,05-02-19,19:57,Cash,5.6,9.1
488-25-4221,C,Leeds,Member,Food and beverages,30.41,1,6.082,36.492,22-02-19,10:36,Credit card,5.6,NA
239-10-7476,A,Manchester,Normal,Home and lifestyle,77.95,6,93.54,561.24,21-01-19,16:37,Ewallet,5.6,8
458-41-1477,C,Leeds,Normal,Health and beauty,46.26,6,55.512,333.072,08-03-19,17:11,Credit card,5.6,9.5
685-64-1609,A,Manchester,Member,Fashion accessories,30.14,10,60.28,361.68,10-02-19,12:28,Ewallet,5.6,9.2
568-90-5112,C,Leeds,Normal,Health and beauty,66.14,4,52.912,317.472,19-03-19,12:46,Credit card,5.6,5.6
262-47-2794,B,Liverpool,Member,Home and lifestyle,71.86,8,114.976,689.856,06-03-19,15:07,Credit card,5.6,NA
238-49-0436,A,Manchester,Normal,Health and beauty,32.46,8,51.936,311.616,27-03-19,13:48,Credit card,5.6,4.9
608-96-3517,B,Liverpool,Member,Fashion accessories,91.54,4,73.232,439.392,23-03-19,19:20,Credit card,5.6,4.8
584-86-7256,C,Leeds,Member,Sports and travel,34.56,7,48.384,290.304,11-03-19,16:07,Credit card,5.6,7.3
746-94-0204,A,Manchester,Normal,Fashion accessories,83.24,9,149.832,898.992,29-01-19,11:56,Credit card,5.6,7.4
214-17-6927,C,Leeds,Normal,Food and beverages,16.48,6,19.776,118.656,07-02-19,18:23,Ewallet,5.6,NA
400-89-4171,C,Leeds,Normal,Sports and travel,80.97,8,129.552,777.312,28-01-19,13:05,Cash,5.6,9.3
782-95-9291,A,Manchester,Member,Food and beverages,92.29,5,92.29,553.74,20-02-19,15:55,Credit card,5.6,NA
279-74-2924,B,Liverpool,Member,Electronic accessories,72.17,1,14.434,86.604,04-01-19,19:40,Cash,5.6,6.1
307-85-2293,B,Liverpool,Normal,Home and lifestyle,50.28,5,50.28,301.68,07-03-19,13:58,Ewallet,5.6,9.7
743-04-1105,B,Liverpool,Member,Health and beauty,97.22,9,174.996,1049.976,30-03-19,14:43,Ewallet,5.6,NA
423-57-2993,B,Liverpool,Normal,Sports and travel,93.39,6,112.068,672.408,27-03-19,19:18,Ewallet,5.6,10
894-41-5205,C,Leeds,Normal,Food and beverages,43.18,8,69.088,414.528,19-01-19,19:39,Credit card,5.6,NA
275-28-0149,A,Manchester,Normal,Sports and travel,63.69,1,12.738,76.428,25-02-19,16:21,Cash,5.6,6
101-17-6199,A,Manchester,Normal,Food and beverages,45.79,7,64.106,384.636,13-03-19,19:44,Credit card,5.6,7
423-80-0988,C,Leeds,Normal,Sports and travel,76.4,2,30.56,183.36,30-01-19,19:42,Ewallet,5.6,6.5
548-46-9322,B,Liverpool,Normal,Food and beverages,39.9,10,79.8,478.8,20-02-19,15:24,Credit card,5.6,5.9
505-02-0892,B,Liverpool,Member,Health and beauty,42.57,8,68.112,408.672,25-02-19,14:12,Ewallet,5.6,5.6
234-65-2137,C,Leeds,Normal,Home and lifestyle,95.58,10,191.16,1146.96,16-01-19,13:32,Cash,5.6,NA
687-47-8271,A,Manchester,Normal,Fashion accessories,98.98,10,197.96,1187.76,08-02-19,16:20,Credit card,5.6,8.7
796-32-9050,A,Manchester,Normal,Food and beverages,51.28,6,61.536,369.216,19-01-19,16:31,Cash,5.6,6.5
105-31-1824,A,Manchester,Member,Sports and travel,69.52,7,97.328,583.968,01-02-19,15:10,Credit card,5.6,8.5
249-42-3782,A,Manchester,Normal,Health and beauty,70.01,5,70.01,420.06,03-01-19,11:36,Ewallet,5.6,5.5
316-55-4634,B,Liverpool,Member,Food and beverages,80.05,5,80.05,480.3,26-01-19,12:45,Credit card,5.6,NA
733-33-4967,C,Leeds,Normal,Electronic accessories,20.85,8,33.36,200.16,03-03-19,19:17,Cash,5.6,6.3
608-27-6295,B,Liverpool,Member,Electronic accessories,52.89,6,63.468,380.808,19-01-19,17:34,Credit card,5.6,9.8
414-12-7047,B,Liverpool,Normal,Food and beverages,19.79,8,31.664,189.984,18-01-19,12:04,Ewallet,5.6,8.7
827-26-2100,A,Manchester,Member,Home and lifestyle,33.84,9,60.912,365.472,21-03-19,16:21,Ewallet,5.6,8.8
175-54-2529,A,Manchester,Member,Food and beverages,22.17,8,35.472,212.832,03-03-19,17:01,Credit card,5.6,9.6
139-52-2867,C,Leeds,Normal,Fashion accessories,22.51,7,31.514,189.084,13-02-19,10:50,Credit card,5.6,4.8
407-63-8975,A,Manchester,Normal,Food and beverages,73.88,6,88.656,531.936,23-03-19,19:16,Ewallet,5.6,4.4
342-65-4817,C,Leeds,Member,Health and beauty,86.8,3,52.08,312.48,28-01-19,16:47,Ewallet,5.6,9.9
130-98-8941,C,Leeds,Normal,Fashion accessories,64.26,7,89.964,539.784,09-02-19,10:00,Cash,5.6,5.7
434-83-9547,C,Leeds,Member,Food and beverages,38.47,8,61.552,369.312,23-01-19,11:51,Cash,5.6,7.7
851-28-6367,A,Manchester,Member,Sports and travel,15.5,10,31,186,23-03-19,10:55,Ewallet,5.6,8
824-88-3614,C,Leeds,Normal,Health and beauty,34.31,8,54.896,329.376,25-01-19,15:00,Ewallet,5.6,5.7
586-25-0848,A,Manchester,Normal,Sports and travel,12.34,7,17.276,103.656,04-03-19,11:19,Credit card,5.6,6.7
895-66-0685,B,Liverpool,Member,Food and beverages,18.08,3,10.848,65.088,05-03-19,19:46,Ewallet,5.6,8
305-14-0245,B,Liverpool,Member,Home and lifestyle,94.49,8,151.184,907.104,03-03-19,19:00,Ewallet,5.6,7.5
732-04-5373,B,Liverpool,Member,Home and lifestyle,46.47,4,37.176,223.056,08-02-19,10:53,Cash,5.6,7
400-60-7251,A,Manchester,Normal,Home and lifestyle,74.07,1,14.814,88.884,10-02-19,12:50,Ewallet,5.6,9.9
593-65-1552,C,Leeds,Normal,Home and lifestyle,69.81,4,55.848,335.088,28-01-19,20:50,Credit card,5.6,5.9
284-34-9626,B,Liverpool,Normal,Home and lifestyle,77.04,3,46.224,277.344,11-02-19,10:39,Credit card,5.6,7.2
437-58-8131,B,Liverpool,Normal,Fashion accessories,73.52,2,29.408,176.448,15-01-19,13:41,Ewallet,5.6,4.6
286-43-6208,C,Leeds,Normal,Food and beverages,87.8,9,158.04,948.24,16-03-19,19:08,Cash,5.6,NA
641-43-2399,B,Liverpool,Normal,Home and lifestyle,25.55,4,20.44,122.64,26-01-19,20:23,Ewallet,5.6,5.7
831-07-6050,A,Manchester,Normal,Electronic accessories,32.71,5,32.71,196.26,19-03-19,11:30,Credit card,5.6,9.9
556-86-3144,C,Leeds,Member,Fashion accessories,74.29,1,14.858,89.148,13-01-19,19:30,Cash,5.6,5
848-24-9445,C,Leeds,Member,Health and beauty,43.7,2,17.48,104.88,26-03-19,18:03,Cash,5.6,4.9
856-22-8149,A,Manchester,Normal,Home and lifestyle,25.29,1,5.058,30.348,23-03-19,10:13,Ewallet,5.6,6.1
699-01-4164,C,Leeds,Normal,Health and beauty,41.5,4,33.2,199.2,12-03-19,19:58,Credit card,5.6,8.2
420-11-4919,C,Leeds,Member,Food and beverages,71.39,5,71.39,428.34,17-02-19,19:57,Credit card,5.6,5.5
606-80-4905,C,Leeds,Member,Sports and travel,19.15,6,22.98,137.88,29-01-19,10:01,Credit card,5.6,6.8
542-41-0513,B,Liverpool,Member,Electronic accessories,57.49,4,45.992,275.952,15-03-19,11:57,Cash,5.6,6.6
426-39-2418,C,Leeds,Normal,Electronic accessories,61.41,7,85.974,515.844,14-01-19,10:02,Cash,5.6,9.8
875-46-5808,B,Liverpool,Member,Health and beauty,25.9,10,51.8,310.8,06-02-19,14:51,Ewallet,5.6,8.7
394-43-4238,B,Liverpool,Member,Home and lifestyle,17.77,5,17.77,106.62,15-02-19,12:42,Credit card,5.6,NA
749-24-1565,A,Manchester,Normal,Health and beauty,23.03,9,41.454,248.724,03-01-19,12:02,Ewallet,5.6,7.9
672-51-8681,C,Leeds,Member,Electronic accessories,66.65,9,119.97,719.82,04-01-19,18:19,Credit card,5.6,9.7
263-87-5680,C,Leeds,Member,Home and lifestyle,28.53,10,57.06,342.36,18-03-19,17:38,Ewallet,5.6,7.8
573-58-9734,B,Liverpool,Normal,Fashion accessories,30.37,3,18.222,109.332,28-03-19,13:41,Ewallet,5.6,5.1
817-69-8206,B,Liverpool,Normal,Electronic accessories,99.73,9,179.514,1077.084,02-03-19,19:42,Credit card,5.6,6.5
888-02-0338,A,Manchester,Normal,Electronic accessories,26.23,9,47.214,283.284,25-01-19,20:24,Ewallet,5.6,5.9
677-11-0152,C,Leeds,Normal,Food and beverages,93.26,9,167.868,1007.208,16-01-19,18:08,Cash,5.6,8.8
142-63-6033,B,Liverpool,Normal,Home and lifestyle,92.36,5,92.36,554.16,20-03-19,19:17,Ewallet,5.6,4.9
656-16-1063,B,Liverpool,Normal,Sports and travel,46.42,3,27.852,167.112,04-01-19,13:24,Credit card,5.6,4.4
891-58-8335,B,Liverpool,Member,Sports and travel,29.61,7,41.454,248.724,11-03-19,15:53,Cash,5.6,6.5
802-43-8934,A,Manchester,Normal,Home and lifestyle,18.28,1,3.656,21.936,22-03-19,15:05,Credit card,5.6,8.3
560-30-5617,B,Liverpool,Normal,Sports and travel,24.77,5,24.77,148.62,24-03-19,18:27,Cash,5.6,8.5
319-74-2561,A,Manchester,Member,Electronic accessories,94.64,3,56.784,340.704,21-02-19,16:55,Cash,5.6,5.5
549-03-9315,B,Liverpool,Normal,Fashion accessories,94.87,8,151.792,910.752,12-02-19,12:58,Ewallet,5.6,NA
790-29-1172,B,Liverpool,Normal,Food and beverages,57.34,3,34.404,206.424,10-03-19,18:59,Credit card,5.6,7.9
239-36-3640,B,Liverpool,Normal,Electronic accessories,45.35,6,54.42,326.52,31-01-19,13:44,Ewallet,5.6,6.1
468-01-2051,B,Liverpool,Normal,Food and beverages,62.08,7,86.912,521.472,06-03-19,13:46,Ewallet,5.6,5.4
389-25-3394,C,Leeds,Normal,Electronic accessories,11.81,5,11.81,70.86,17-02-19,18:06,Cash,5.6,9.4
